Month,Marketing_Spend,Customer_Count,Season,Sales
2023-01-31,4174,87,Q1,33897
2023-02-28,4507,179,Q1,12612
2023-03-31,1860,70,Q1,33483
2023-04-30,2294,107,Q2,27159
2023-05-31,2130,71,Q2,24541
2023-06-30,2095,138,Q2,45920
2023-07-31,4772,98,Q3,36531
2023-08-31,4092,108,Q3,11585
2023-09-30,2638,64,Q3,13943
2023-10-31,3169,100,Q4,33939
2023-11-30,1466,157,Q4,29457
2023-12-31,2238,104,Q4,11021
2024-01-31,1330,113,Q1,21653
2024-02-29,2482,180,Q1,23417
2024-03-31,3135,100,Q1,19692
2024-04-30,4444,184,Q2,16873
2024-05-31,4171,70,Q2,15675
2024-06-30,3919,122,Q2,10161
2024-07-31,4735,67,Q3,47065
2024-08-31,1130,181,Q3,36557
2024-09-30,2685,138,Q3,43763
2024-10-31,4380,109,Q4,42606
2024-11-30,1769,63,Q4,21534
2024-12-31,3391,58,Q4,39127
